Compiling 1 file (.ex)
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
'Elixir.Beamicom.NES.APU':lfsr_long/2                       4954005     186508      0.04  [ 0.65]
'Elixir.Beamicom.NES.APU':run/2                             1185827     172054      0.15  [ 0.60]
'Elixir.Beamicom.NES.PPU':nt_read/2                         1785960     161515      0.09  [ 0.56]
'Elixir.Beamicom.NES.PPU':fetch_bg_planes/1                  892980     161089      0.18  [ 0.56]
'Elixir.Beamicom.NES.PPU':fetch_full/5                       920040     158543      0.17  [ 0.55]
'Elixir.Beamicom.NES.CPU':set/3                             4186402     157163      0.04  [ 0.55]
'Elixir.Beamicom.NES.APU':mix/1                              661818     155784      0.24  [ 0.54]
'Elixir.Beamicom.NES.CPU':peek/2                            3213066     122905      0.04  [ 0.43]
'Elixir.Beamicom.NES.APU':pulse_level/2                     1323636     114494      0.09  [ 0.40]
'Elixir.Beamicom.NES.APU':'sweep_mute?'/1                   1313292     113746      0.09  [ 0.40]
lists:split_1/5                                             3039555     108264      0.04  [ 0.38]
'Elixir.Beamicom.NES.PPU':fetch_nt/1                         892980     107739      0.12  [ 0.38]
'Elixir.Beamicom.NES.PPU':'-sprite0_hit/5-fun-0-'/5         2928028      99167      0.03  [ 0.35]
'Elixir.Beamicom.NES.APU':frame_action/1                     924099      98747      0.11  [ 0.34]
'Elixir.Beamicom.NES.PPU':fire_event/1                      1183024      95202      0.08  [ 0.33]
'Elixir.Beamicom.NES.APU':adv_noise/5                        924099      93288      0.10  [ 0.33]
lists:reverse/2                                              608262      87275      0.14  [ 0.30]
'Elixir.Beamicom.NES.CPU':adc/2                             1016231      86849      0.09  [ 0.30]
'Elixir.Beamicom.NES.PPU':build_sprite/7                     490620      86139      0.18  [ 0.30]
'Elixir.Beamicom.NES.APU':adv_triangle/4                     924099      81962      0.09  [ 0.29]
'Elixir.Beamicom.NES.APU':mmc5_out/1                         659851      81760      0.12  [ 0.29]
'Elixir.Beamicom.NES.PPU':fetch_at/1                         892980      78904      0.09  [ 0.28]
'Elixir.Beamicom.NES.PPU':commit/2                          1183024      76733      0.06  [ 0.27]
'Elixir.Beamicom.NES.PPU':chr_at/3                           981240      72717      0.07  [ 0.25]
'Elixir.Beamicom.NES.CPU':flag/3                            1005687      66942      0.07  [ 0.23]
'Elixir.Beamicom.NES.PPU':apply_chr_latch/2                 1785960      62916      0.04  [ 0.22]
'Elixir.Beamicom.NES.PPU':fetch_line_tiles/2                 214320      61028      0.28  [ 0.21]
maps:put/3                                                   241745      53027      0.22  [ 0.19]
'Elixir.Beamicom.NES.PPU':inc_hori/1                         892980      52808      0.06  [ 0.18]
'Elixir.Beamicom.NES.APU':to_sample/1                        924099      51808      0.06  [ 0.18]
'Elixir.Beamicom.NES.PPU':render_scanline/1                  216480      51554      0.24  [ 0.18]
'Elixir.Beamicom.NES.APU':m5_pulse_level/2                  1319702      48763      0.04  [ 0.17]
maps:keys/1                                                  114447      46761      0.41  [ 0.16]
erts_internal:map_next/3                                     100058      44491      0.44  [ 0.16]
'Elixir.Enum':'-reduce/3-lists^foldl/2-0-'/3                 733250      42512      0.06  [ 0.15]
'Elixir.Enum':reduce/3                                       712402      41528      0.06  [ 0.14]
'Elixir.Beamicom.NES.PPU':compose_line/4                     214320      40959      0.19  [ 0.14]
'Elixir.Beamicom.NES.PPU':read/2                             981240      37453      0.04  [ 0.13]
'Elixir.Beamicom.NES.Mapper':mmc5_scanline/1                 215213      37233      0.17  [ 0.13]
'Elixir.Beamicom.NES.Mapper':put_state/3                     239703      37069      0.15  [ 0.13]
'Elixir.Beamicom.NES.APU':encode_pcm/3                       662720      37012      0.06  [ 0.13]
'Elixir.Beamicom.NES.APU':to_frame/1                         924099      36942      0.04  [ 0.13]
'Elixir.Beamicom.NES.APU':frame_at/4                         924099      36909      0.04  [ 0.13]
'Elixir.Beamicom.NES.PPU':bg_line/3                          147006      35761      0.24  [ 0.12]
'Elixir.Beamicom.NES.APU':mmc5_action/1                      921339      35072      0.04  [ 0.12]
'Elixir.Beamicom.NES.CPU':branch/4                           608552      34855      0.06  [ 0.12]
'Elixir.Beamicom.NES.APU':to_m5/1                            921339      34705      0.04  [ 0.12]
'Elixir.Beamicom.NES.PPU':eval_sprites/1                     214320      33064      0.15  [ 0.12]
'Elixir.Enum':reverse/1                                      462264      31844      0.07  [ 0.11]
erlang:list_to_tuple/1                                       275456      30908      0.11  [ 0.11]
'Elixir.Beamicom.NES.APU':lfsr/3                             917411      28554      0.03  [ 0.10]
crypto:hash_update_nif/2                                       4534      25813      5.69  [ 0.09]
lists:merge2_2/5                                             623880      25286      0.04  [ 0.09]
